Company Name,Variable,T1,T2,T3,T4
Atlas Property investors,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Atlas Property investors,font_color_2,#3FC3FF,#3FC3FF,#3FC3FF,#3FC3FF
Atlas Property investors,font_color_3,#081330,#081330,#081330,#E6F4FF
Atlas Property investors,font_color_4,,#F4C300,#2C78E4,
Atlas Property investors,block_color_1,#222B47,#222B47,#222B47,#222B47
Atlas Property investors,block_color_2,#324582,#E6F4FF,#3FC3FF,
Phil Buys Houses Fast,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Phil Buys Houses Fast,font_color_2,#FCC54E,#FCC54E,#FCC54E,#FCC54E
Phil Buys Houses Fast,font_color_3,#081330,#081330,#081330,#E6F4FF
Phil Buys Houses Fast,font_color_4,,#F4C300,#2C78E4,
Phil Buys Houses Fast,block_color_1,#1C4894,#1C4894,#1C4894,#1C4894
Phil Buys Houses Fast,block_color_2,#003289,#E6F4FF,#FCC54E,
MaxReturns,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
MaxReturns,font_color_2,#FDDC01,#FDDC01,#FDDC01,#FDDC01
MaxReturns,font_color_3,#081330,#081330,#081330,#E6F4FF
MaxReturns,font_color_4,,#F4C300,#2C78E4,
MaxReturns,block_color_1,#114680,#114680,#114680,#114680
MaxReturns,block_color_2,#113862,#E6F4FF,#FDDC01,
Cava Companies,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Cava Companies,font_color_2,#84C550,#84C550,#84C550,#84C550
Cava Companies,font_color_3,#081330,#081330,#081330,#E6F4FF
Cava Companies,font_color_4,,#F4C300,#2C78E4,
Cava Companies,block_color_1,#0F3B59,#0F3B59,#0F3B59,#0F3B59
Cava Companies,block_color_2,#1576B1,#E6F4FF,#84C550,
Sell Now Wisconsin,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Sell Now Wisconsin,font_color_2,#F9A61A,#F9A61A,#F9A61A,#F9A61A
Sell Now Wisconsin,font_color_3,#081330,#081330,#081330,#E6F4FF
Sell Now Wisconsin,font_color_4,,#F4C300,#2C78E4,
Sell Now Wisconsin,block_color_1,#002244,#002244,#002244,#002244
Sell Now Wisconsin,block_color_2,#003870,#E6F4FF,#F9A61A,
LVN Real Estate,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
LVN Real Estate,font_color_2,#F4C300,#F4C300,#F4C300,#F4C300
LVN Real Estate,font_color_3,#081330,#081330,#081330,#E6F4FF
LVN Real Estate,font_color_4,,#F4C300,#2C78E4,
LVN Real Estate,block_color_1,#2D924A,#2D924A,#2D924A,#2D924A
LVN Real Estate,block_color_2,#1C592D,#E6F4FF,#F4C300,
Obi Buys,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Obi Buys,font_color_2,#BB2C30,#BB2C30,#BB2C30,#BB2C30
Obi Buys,font_color_3,#081330,#081330,#081330,#E6F4FF
Obi Buys,font_color_4,,#F4C300,#2C78E4,
Obi Buys,block_color_1,#23254D,#23254D,#23254D,#23254D
Obi Buys,block_color_2,#333672,#E6F4FF,#BB2C30,
TN HomeBuyers,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
TN HomeBuyers,font_color_2,#F00F10,#F00F10,#F00F10,#F00F10
TN HomeBuyers,font_color_3,#081330,#081330,#081330,#E6F4FF
TN HomeBuyers,font_color_4,,#F4C300,#2C78E4,
TN HomeBuyers,block_color_1,#032090,#032090,#032090,#032090
TN HomeBuyers,block_color_2,#152F92,#E6F4FF,#F00F10,
BBPOCO,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
BBPOCO,font_color_2,#FFAE42,#FFAE42,#FFAE42,#FFAE42
BBPOCO,font_color_3,#081330,#081330,#081330,#E6F4FF
BBPOCO,font_color_4,,#F4C300,#2C78E4,
BBPOCO,block_color_1,#036637,#036637,#036637,#036637
BBPOCO,block_color_2,#28724F,#E6F4FF,#FFAE42,
BBPOFL,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
BBPOFL,font_color_2,#EF801B,#EF801B,#EF801B,#EF801B
BBPOFL,font_color_3,#081330,#081330,#081330,#E6F4FF
BBPOFL,font_color_4,,#F4C300,#2C78E4,
BBPOFL,block_color_1,#30A5B6,#30A5B6,#30A5B6,#30A5B6
BBPOFL,block_color_2,#57A7B3,#E6F4FF,#EF801B,
Sell Quick Tampa,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Sell Quick Tampa,font_color_2,#F1C100,#F1C100,#F1C100,#F1C100
Sell Quick Tampa,font_color_3,#081330,#081330,#081330,#E6F4FF
Sell Quick Tampa,font_color_4,,#F4C300,#2C78E4,
Sell Quick Tampa,block_color_1,#0071BD,#0071BD,#0071BD,#0071BD
Sell Quick Tampa,block_color_2,#005A96,#E6F4FF,#F1C100,
Property Spot,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Property Spot,font_color_2,#000000,#000000,#000000,#000000
Property Spot,font_color_3,#081330,#081330,#E6F4FF,#E6F4FF
Property Spot,font_color_4,,#F4C300,#2C78E4,
Property Spot,block_color_1,#1DBF73,#1DBF73,#1DBF73,#1DBF73
Property Spot,block_color_2,#169B5D,#E6F4FF,#000000,
Tampa Standard,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Tampa Standard,font_color_2,#E8BB19,#E8BB19,#E8BB19,#E8BB19
Tampa Standard,font_color_3,#081330,#081330,#081330,#E6F4FF
Tampa Standard,font_color_4,,#F4C300,#2C78E4,
Tampa Standard,block_color_1,#4D689D,#4D689D,#4D689D,#4D689D
Tampa Standard,block_color_2,#355492,#E6F4FF,#E8BB19,
Abode Homebuyers,font_color_1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Abode Homebuyers,font_color_2,#FFCC00,#FFCC00,#FFCC00,#FFCC00
Abode Homebuyers,font_color_3,#081330,#081330,#081330,#E6F4FF
Abode Homebuyers,font_color_4,,#F4C300,#2C78E4,
Abode Homebuyers,block_color_1,#0066F9,#0066F9,#0066F9,#0066F9
Abode Homebuyers,block_color_2,#0046AB,#E6F4FF,#FFCC00,
