Group Number,Sequence Step,Group Name,Template Number,Template Name,Postcard Gender
4,1,55+ ( Senior ),3,Amiable,Female
3,1,Absentee,2,Analytical,Male
2,1,Financial,4,Expressive,Male
5,1,Owner Occupied,4,Expressive,Male
1,1,Probate/Estate,3,Amiable,Female
4,2,55+ ( Senior ),4,Expressive,Female
3,2,Absentee,3,Amiable,Male
2,2,Financial,1,Driver,Male
5,2,Owner Occupied,2,Analytical,Male
1,2,Probate/Estate,4,Expressive,Female
4,3,55+ ( Senior ),2,Analytical,Female
3,3,Absentee,1,Driver,Male
2,3,Financial,2,Analytical,Male
5,3,Owner Occupied,3,Amiable,Male
1,3,Probate/Estate,2,Analytical,Female
4,4,55+ ( Senior ),1,Driver,Female
3,4,Absentee,4,Expressive,Male
2,4,Financial,3,Amiable,Male
5,4,Owner Occupied,1,Driver,Male
1,4,Probate/Estate,1,Driver,Female
